DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2022-05-23T00:00:00,2022-05-23T13:43:48.924,73,29,30,20,30,24,40,READY,false
2022-05-24T00:00:00,2022-05-24T12:40:54.76,76,28,30,17,30,31,40,READY,false
2022-05-25T00:00:00,2022-05-25T22:58:06.314,72,18,30,24,30,30,40,READY,false
2022-05-26T00:00:00,2022-05-26T12:05:55.851,78,27,30,15,30,36,40,READY,false
2022-05-27T00:00:00,2022-05-27T12:11:53.858,80,27,30,21,30,32,40,READY,false
2022-05-28T00:00:00,2022-05-28T14:43:47.234,79,28,30,21,30,30,40,READY,false
2022-05-29T00:00:00,2022-05-29T19:42:03.524,74,25,30,19,30,30,40,READY,false
2022-05-30T00:00:00,2022-05-30T12:40:42.682,80,28,30,23,30,29,40,READY,false
2022-05-31T00:00:00,2022-05-31T15:05:43.238,77,27,30,25,30,25,40,READY,false
2022-06-01T00:00:00,2022-06-01T14:04:45.425,74,28,30,17,30,29,40,READY,false
2022-06-02T00:00:00,2022-06-02T11:37:20.916,68,23,30,13,30,32,40,READY,false
2022-06-03T00:00:00,2022-06-03T13:33:57.656,73,25,30,19,30,29,40,READY,false
2022-06-04T00:00:00,2022-06-04T15:08:53.163,80,29,30,23,30,28,40,READY,false
2022-06-05T00:00:00,2022-06-05T13:54:29.571,77,24,30,24,30,29,40,READY,false
2022-06-06T00:00:00,2022-06-06T13:41:02.133,81,28,30,24,30,29,40,READY,false
2022-06-07T00:00:00,2022-06-07T14:52:21.043,79,27,30,23,30,29,40,READY,false
2022-06-08T00:00:00,2022-06-08T13:43:18.45,72,24,30,19,30,29,40,READY,false
2022-06-09T00:00:00,2022-06-09T14:53:01.409,67,24,30,16,30,27,40,READY,false
2022-06-10T00:00:00,2022-06-10T14:41:57.335,70,29,30,19,30,22,40,READY,false
2022-06-11T00:00:00,2022-06-11T14:04:13.862,69,26,30,22,30,21,40,READY,false
2022-06-12T00:00:00,2022-06-12T13:55:27.492,72,27,30,21,30,24,40,READY,false
2022-06-13T00:00:00,2022-06-13T14:22:15.695,68,29,30,18,30,21,40,READY,false
2022-06-14T00:00:00,2022-06-14T13:26:06.845,72,27,30,23,30,22,40,READY,false
2022-06-15T00:00:00,2022-06-15T13:50:14.324,66,27,30,15,30,24,40,READY,false
2022-06-16T00:00:00,2022-06-16T11:43:16.504,71,23,30,21,30,27,40,READY,false
2022-06-17T00:00:00,2022-06-17T14:53:06.681,74,26,30,23,30,25,40,READY,false
2022-06-18T00:00:00,2022-06-18T15:12:38.845,68,24,30,17,30,27,40,READY,false
2022-06-19T00:00:00,2022-06-19T15:47:30.909,72,20,30,23,30,29,40,READY,false
2022-06-20T00:00:00,2022-06-20T15:43:58.477,74,25,30,23,30,26,40,READY,false
2022-06-21T00:00:00,2022-06-21T13:31:26.224,76,26,30,18,30,32,40,READY,false
2022-06-22T00:00:00,2022-06-22T13:58:00.812,74,23,30,22,30,29,40,READY,false
2022-06-23T00:00:00,2022-06-23T13:31:11.634,80,30,30,12,30,38,40,READY,false
2022-06-24T00:00:00,2022-06-24T13:59:51.359,71,17,30,21,30,33,40,READY,false
2022-06-25T00:00:00,2022-06-25T15:27:27.672,72,18,30,18,30,36,40,READY,false
2022-06-26T00:00:00,2022-06-26T15:04:22.419,74,22,30,22,30,30,40,READY,false
2022-06-27T00:00:00,2022-06-27T13:37:00.602,79,27,30,22,30,30,40,READY,false
2022-06-28T00:00:00,2022-06-28T14:15:35.581,83,29,30,17,30,37,40,READY,false
2022-06-29T00:00:00,2022-06-29T13:47:57.589,80,28,30,21,30,31,40,READY,false
2022-06-30T00:00:00,2022-06-30T14:35:18.016,74,26,30,16,30,32,40,READY,false
2022-07-01T00:00:00,2022-07-01T14:22:12.98,71,22,30,21,30,28,40,READY,false
2022-07-02T00:00:00,2022-07-02T16:34:20.548,82,27,30,26,30,29,40,READY,false
2022-07-03T00:00:00,2022-07-03T10:00:29.462,73,22,30,21,30,30,40,READY,false
2022-07-04T00:00:00,2022-07-04T13:36:50.631,84,25,30,23,30,36,40,READY,false
2022-07-05T00:00:00,2022-07-05T15:00:27.779,72,24,30,19,30,29,40,READY,false
2022-07-06T00:00:00,2022-07-06T14:16:26.67,68,22,30,16,30,30,40,READY,false
2022-07-07T00:00:00,2022-07-07T11:51:28.731,76,28,30,17,30,31,40,READY,false
2022-07-08T00:00:00,2022-07-08T14:58:03.664,78,26,30,24,30,28,40,READY,false
2022-07-09T00:00:00,2022-07-09T15:09:10.356,79,26,30,24,30,29,40,READY,false
2022-07-11T00:00:00,2022-07-11T13:48:48.286,0,0,0,0,0,0,0,NO_DATA,true
2022-07-12T00:00:00,2022-07-12T15:11:48.003,69,20,30,23,30,26,40,READY,false
2022-07-13T00:00:00,2022-07-13T13:55:32.235,75,24,30,25,30,26,40,READY,false
2022-07-14T00:00:00,2022-07-14T12:05:17.263,62,19,30,15,30,28,40,READY,false
2022-07-15T00:00:00,2022-07-15T15:06:34.678,71,25,30,20,30,26,40,READY,false
2022-07-16T00:00:00,2022-07-16T14:46:16.791,72,25,30,20,30,27,40,READY,false
2022-07-17T00:00:00,2022-07-17T16:17:54.88,64,21,30,17,30,26,40,READY,false
2022-07-18T00:00:00,2022-07-18T15:06:49.554,75,27,30,20,30,28,40,READY,false
2022-07-19T00:00:00,2022-07-19T14:30:27.886,80,29,30,24,30,27,40,READY,false
2022-07-21T00:00:00,2022-07-21T11:30:30.89,0,0,0,0,0,0,0,NO_DATA,true
